n_params,train_loss,test_loss,n_layers,n_neurons
31,0.026824055940191896,0.026185606759282755,1,10
61,0.009643113046367478,0.010009533264059213,1,20
91,0.00952053372041407,0.009775891836073036,1,30
121,0.009489108549701857,0.009620235976184232,1,40
151,0.00957145158502262,0.009783770374969341,1,50
181,0.009649178343746791,0.010010479390344797,1,60
226,0.009566511648678146,0.009828433756768451,1,75
271,0.009669404649716828,0.010011233842980447,1,90
301,0.00947626676302546,0.009628399723337802,1,100
361,0.009465034054539698,0.009724052338709604,1,120
421,0.00952058566156192,0.009528634347597455,1,140
481,0.009447636793018925,0.009546098115035193,1,160
481,0.009450917288999959,0.009594589902081362,2,20
541,0.009574399684945169,0.009859110237913438,1,180
601,0.009464939520312162,0.009607387039112158,1,200
751,0.009453767959674082,0.009451485709061165,1,250
901,0.009602949282846962,0.009676769481524851,1,300
1021,0.009456532665656442,0.009601892034648112,2,30
1761,0.009475438514502726,0.009548556463267627,2,40
1951,0.009473260633058004,0.009458477380730275,3,30
2701,0.00939896585311379,0.009498223276209396,2,50
3401,0.009417045386423274,0.009451684492690668,3,40
3841,0.009515919567052366,0.00951254550052495,2,60
5041,0.009424130974734216,0.009415118314057844,4,40
5251,0.009435348746550876,0.009497235283978946,3,50
5926,0.009433774989405114,0.009533880731796486,2,75
6681,0.009386546255870227,0.009459732292698673,5,40
7501,0.009452661813909125,0.009494603530585394,3,60
7801,0.009417171440388157,0.009462934437560702,4,50
8461,0.009405056560692454,0.009530554259186145,2,90
10351,0.009390711278314456,0.009440848440576103,5,50
10401,0.009451472727080747,0.00958846867297723,2,100
11161,0.00947278891321281,0.009478810950071675,4,60
11626,0.009464921731356353,0.009501282276196944,3,75
14821,0.009394917545142106,0.009430861838330456,5,60
14881,0.009441983813629177,0.009578034374725116,2,120
16651,0.00942759023961124,0.009481137923631809,3,90
17326,0.009425599204761109,0.00947363788260534,4,75
20161,0.009414429406314928,0.00954624742757604,2,140
20501,0.009419035372755926,0.009523713072831216,3,100
23026,0.00939448613098522,0.009396159512234582,5,75
24841,0.009414808287402843,0.009485018571803824,4,90
26241,0.00941741245267067,0.009550152083647043,2,160
29401,0.009430929662873986,0.009490383694195404,3,120
30601,0.009449709362023799,0.009477577815580564,4,100
33031,0.00939772854047174,0.009453951209904152,5,90
33121,0.00941116888451902,0.009536319930167673,2,180
39901,0.009435752143746005,0.009475475211813328,3,140
40701,0.009391324353005126,0.009442213301523639,5,100
40801,0.009458344102934895,0.009563328668377452,2,200
43921,0.009429029863582728,0.009468656664838367,4,120
52001,0.009482434455666355,0.009499032592585525,3,160
58441,0.00942789333333522,0.009501185967285008,5,120
59641,0.009417971233537343,0.009476911775421098,4,140
63501,0.009471989430522154,0.009568429921000298,2,250
65701,0.009461859662459554,0.009477342550338313,3,180
77761,0.00939225587326528,0.009523612078270594,4,160
81001,0.009417038037466347,0.009513852682368379,3,200
