n_params,train_loss,test_loss,n_layers,n_neurons
31,0.0885152976929367,0.08146272334789913,1,10
61,0.00960330478425069,0.009688453618460678,1,20
91,0.08926933026495494,0.08240798981687586,1,30
121,0.08937765419434296,0.08206329594902309,1,40
151,0.009695058898195198,0.00964850051905231,1,50
181,0.009624503443675422,0.009714306734637872,1,60
226,0.009591839100861881,0.009440684781876667,1,75
271,0.010675957375605767,0.010411108280943233,1,90
301,0.009718681313427815,0.009665109316379355,1,100
361,0.009667658145398503,0.009667425850014868,1,120
421,0.009600248244380556,0.009611581928372635,1,140
481,0.009603830159013256,0.009645599385052614,1,160
481,0.08941485631071505,0.08205962361796659,2,20
541,0.009583200723602333,0.009392810793672896,1,180
601,0.009660283333268908,0.009666612336442719,1,200
751,0.009908101277513523,0.010058714397356784,1,250
901,0.009603520459885363,0.009636615948363956,1,300
1021,0.08946553271656224,0.08206016287801095,2,30
1761,0.08940968996765497,0.08207387973844614,2,40
1951,0.00964211542704946,0.009463755788731341,3,30
2701,0.009559453039988853,0.00942870459844701,2,50
3401,0.009545185637370062,0.009437680525562072,3,40
3841,0.009604818410366266,0.009515871120901739,2,60
5041,0.08942099265089444,0.08205821257149763,4,40
5251,0.009567051806323163,0.009418006779300263,3,50
5926,0.00960332955685199,0.009387217621735638,2,75
6681,0.0894456715837941,0.08205806389090559,5,40
7501,0.08944275767366165,0.08205875129960855,3,60
7801,0.08942094022868564,0.08205800356747922,4,50
8461,0.00980232287604616,0.009582091225622716,2,90
10351,0.08941225967210553,0.08205867084512498,5,50
10401,0.009605711705506021,0.00945648561443021,2,100
11161,0.009569182420667115,0.009448639038244002,4,60
11626,0.009535110551784196,0.009434591740700084,3,75
14821,0.009602921553198616,0.009451854341532047,5,60
14881,0.00963674963252837,0.009443269555244797,2,120
16651,0.009581213175313722,0.009466085136904391,3,90
17326,0.009580898224803638,0.00944923640652198,4,75
20161,0.009570765039314024,0.009391617224853209,2,140
20501,0.009547243608315808,0.00941942990952987,3,100
23026,0.009592177783956915,0.009454985787591299,5,75
24841,0.009551399866093104,0.009494035830649726,4,90
26241,0.009586985642828614,0.00945665209680548,2,160
29401,0.009548988357255121,0.009458350014351039,3,120
30601,0.08941064375002183,0.08206014233789112,4,100
33031,0.009594435029811756,0.009444043188536175,5,90
33121,0.009575075089956479,0.009451863285903138,2,180
39901,0.009599412242031584,0.009493203087014748,3,140
40701,0.009562417939256655,0.009462908671295867,5,100
40801,0.009564651207676755,0.009532099199702614,2,200
43921,0.009594047476756207,0.009467361958194647,4,120
52001,0.009558733039174698,0.009416671385927975,3,160
58441,0.00957654356668232,0.009487434982425049,5,120
59641,0.0894538348763299,0.08205979262516705,4,140
63501,0.009582385231107151,0.009442907102694232,2,250
65701,0.009583523451444389,0.009473112155806162,3,180
77761,0.009571991540105997,0.009486780076520226,4,160
81001,0.009561929416928287,0.009465009632299827,3,200
