activation,hidden_layers,width,seed,L2_rel,Linf
GeLU,2,32,4,0.0007423561764881015,0.0009129643440246582
GeLU,2,32,2,0.0010514917084947228,0.0010752081871032715
GeLU,2,32,16,0.0008039603708311915,0.0010483860969543457
GeLU,2,32,8,0.0013228619936853647,0.001569509506225586
GeLU,2,32,29,0.0013623546110466123,0.0010532140731811523
GeLU,2,32,3,0.0011219297302886844,0.0011358261108398438
GeLU,2,32,21,0.0007112186867743731,0.0008834004402160645
GeLU,2,32,9,0.0013401675969362259,0.00144195556640625
GeLU,2,32,0,0.0008943965076468885,0.001049637794494629
GeLU,2,32,42,0.001026547746732831,0.0010039210319519043
GeLU,2,64,4,0.0004886793904006481,0.000498652458190918
GeLU,2,64,2,0.0016918816836550832,0.0012266631238162518
GeLU,2,64,16,0.0005682044429704547,0.00047510862350463867
GeLU,2,64,8,0.00059662846615538,0.0005779266357421875
GeLU,2,64,29,0.000988019397482276,0.0005675130523741245
GeLU,2,64,3,0.0005603935569524765,0.0004050731658935547
GeLU,2,64,21,0.0006885576294735074,0.0004458427429199219
GeLU,2,64,9,0.0004326239868532866,0.0005412697792053223
GeLU,2,64,0,0.0007411488331854343,0.0005599260330200195
GeLU,2,64,42,0.0008583653252571821,0.0005396008491516113
GeLU,2,128,4,0.0013039225013926625,0.0006671459414064884
GeLU,2,128,2,0.001554539194330573,0.0007866518571972847
GeLU,2,128,16,0.001466995570808649,0.0007247170433402061
GeLU,2,128,8,0.0014342919457703829,0.0008048107847571373
GeLU,2,128,29,0.0007491206633858383,0.00036622583866119385
GeLU,2,128,3,0.0005900171236135066,0.00041232211515307426
GeLU,2,128,21,0.0002877043152693659,0.00028842687606811523
GeLU,2,128,9,0.0006789698963984847,0.0003661941736936569
GeLU,2,128,0,0.0005771047435700893,0.0004281834699213505
GeLU,2,128,42,0.000684429076500237,0.0003947801887989044
GeLU,3,32,4,0.0005156139377504587,0.0003877743147313595
GeLU,3,32,2,0.0006352634518407285,0.0003666877746582031
GeLU,3,32,16,0.0004623763670679182,0.00031128525733947754
GeLU,3,32,8,0.0012118410086259246,0.0006441418081521988
GeLU,3,32,29,0.0005058252718299627,0.00030775461345911026
GeLU,3,32,3,0.00031202042009681463,0.00020432472229003906
GeLU,3,32,21,0.0012088051298633218,0.0007059145718812943
GeLU,3,32,9,0.0003839503042399883,0.0002033710479736328
GeLU,3,32,0,0.00023837956541683525,0.00023192167282104492
GeLU,3,32,42,0.0022772790398448706,0.001233736053109169
GeLU,3,64,4,0.00018005141464527696,0.00010859966278076172
GeLU,3,64,2,0.0012953453697264194,0.0006551658734679222
GeLU,3,64,16,0.0014774816809222102,0.0008011111058294773
GeLU,3,64,8,0.0011478194501250982,0.0006707953289151192
GeLU,3,64,29,0.00247482699342072,0.0012606033124029636
GeLU,3,64,3,0.0008870354504324496,0.0004315497353672981
GeLU,3,64,21,0.0018370572943240404,0.0009253416210412979
GeLU,3,64,9,0.0007681566057726741,0.0003261640667915344
GeLU,3,64,0,0.0008528473554179072,0.0005492684431374073
GeLU,3,64,42,0.00025143727543763816,0.00020446907728910446
GeLU,3,128,4,0.005908732768148184,0.0029186056926846504
GeLU,3,128,2,0.0007697429973632097,0.0003584921360015869
GeLU,3,128,16,0.0020453431643545628,0.0010815015994012356
GeLU,3,128,8,0.005592870060354471,0.0028997408226132393
GeLU,3,128,29,0.0033073467202484608,0.00157936941832304
GeLU,3,128,3,0.0012924479087814689,0.0007044756785035133
GeLU,3,128,21,0.0011808992130681872,0.0005286708474159241
GeLU,3,128,9,0.013775992207229137,0.0063209314830601215
GeLU,3,128,0,0.0006616146420128644,0.00044454820454120636
GeLU,3,128,42,0.004085523542016745,0.0022295620292425156
GeLU,4,32,4,0.0002897308731917292,0.00017411727458238602
GeLU,4,32,2,0.0019256769446656108,0.0011115921661257744
GeLU,4,32,16,0.0002948119363281876,0.00018735229969024658
GeLU,4,32,8,0.0007504529203288257,0.0003663673996925354
GeLU,4,32,29,0.0005682408227585256,0.0004205983132123947
GeLU,4,32,3,0.0014797223266214132,0.000905756838619709
GeLU,4,32,21,0.0004129977023694664,0.0003132577985525131
GeLU,4,32,9,0.000579714251216501,0.0003509633243083954
GeLU,4,32,0,0.002281812485307455,0.0012482553720474243
GeLU,4,32,42,0.0029503568075597286,0.0015592025592923164
GeLU,4,64,4,0.0021787029691040516,0.0008702091872692108
GeLU,4,64,2,0.00027117758872918785,0.00016481243073940277
GeLU,4,64,16,0.0001743825851008296,0.00011903420090675354
GeLU,4,64,8,0.0021346057765185833,0.0011463286355137825
GeLU,4,64,29,0.0018620832124724984,0.0008897697553038597
GeLU,4,64,3,0.0026277455035597086,0.0012531373649835587
GeLU,4,64,21,0.0021598089952021837,0.0008807294070720673
GeLU,4,64,9,0.007284476887434721,0.0032074316404759884
GeLU,4,64,0,0.0004117160860914737,0.0002831835299730301
GeLU,4,64,42,0.0023813596926629543,0.0012927837669849396
GeLU,4,128,4,0.0002897931553889066,0.0001836894080042839
GeLU,4,128,2,0.0010615290375426412,0.0005515562370419502
GeLU,4,128,16,0.004235043656080961,0.002191529143601656
GeLU,4,128,8,0.0011931713670492172,0.0006990013644099236
GeLU,4,128,29,0.002016030251979828,0.000986355822533369
GeLU,4,128,3,0.0007579009979963303,0.00043775327503681183
GeLU,4,128,21,0.0008658424485474825,0.0004220958799123764
GeLU,4,128,9,0.00019896477169822901,0.00017739832401275635
GeLU,4,128,0,0.0007742102607153356,0.0003865244798362255
GeLU,4,128,42,0.0005905998405069113,0.00034442730247974396
