activation,hidden_layers,width,seed,L2_rel,Linf
sin,2,32,4,0.003701351350173354,0.0036878585815429688
sin,2,32,2,0.004726489074528217,0.005241453647613525
sin,2,32,16,0.004099453333765268,0.004012942314147949
sin,2,32,8,0.004858697298914194,0.004779338836669922
sin,2,32,29,0.0037378878332674503,0.00392836332321167
sin,2,32,3,0.004005769267678261,0.004197597503662109
sin,2,32,21,0.004699725192040205,0.00414276123046875
sin,2,32,9,0.004526692442595959,0.004437088966369629
sin,2,32,0,0.004467960447072983,0.004752516746520996
sin,2,32,42,0.0039510056376457214,0.004133820533752441
sin,2,64,4,0.0022266115993261337,0.0021538734436035156
sin,2,64,2,0.002328488975763321,0.002220749855041504
sin,2,64,16,0.002305050613358617,0.002141118049621582
sin,2,64,8,0.0023663330357521772,0.002133011817932129
sin,2,64,29,0.0035095149651169777,0.002375646959990263
sin,2,64,3,0.002284381305798888,0.002089262008666992
sin,2,64,21,0.002922536339610815,0.0019673705101013184
sin,2,64,9,0.001987505704164505,0.0019990205764770508
sin,2,64,0,0.002845327602699399,0.002202749252319336
sin,2,64,42,0.002086102031171322,0.0021992921829223633
sin,2,128,4,0.003333468222990632,0.001946588046848774
sin,2,128,2,0.002796660177409649,0.001617091242223978
sin,2,128,16,0.00531674362719059,0.004790151957422495
sin,2,128,8,0.0029624849557876587,0.002261701039969921
sin,2,128,29,0.00172697682864964,0.0011476874351501465
sin,2,128,3,0.0025816820561885834,0.0017143655568361282
sin,2,128,21,0.0015677118208259344,0.0012267827987670898
sin,2,128,9,0.0014140949351713061,0.0011328458786010742
sin,2,128,0,0.0027102057356387377,0.001821191981434822
sin,2,128,42,0.00521482340991497,0.0035083810798823833
sin,3,32,4,0.0019955486059188843,0.002302229404449463
sin,3,32,2,0.0015734824119135737,0.0025047659873962402
sin,3,32,16,0.004608605522662401,0.0027717268094420433
sin,3,32,8,0.0025974824093282223,0.0021539926528930664
sin,3,32,29,0.0014527810271829367,0.001980602741241455
sin,3,32,3,0.002075188560411334,0.0018789172172546387
sin,3,32,21,0.001475330675020814,0.002272188663482666
sin,3,32,9,0.0041523342952132225,0.0023328540846705437
sin,3,32,0,0.0017342185601592064,0.002398967742919922
sin,3,32,42,0.0018618698231875896,0.002549111843109131
sin,3,64,4,0.0011795226018875837,0.0010182857513427734
sin,3,64,2,0.002162995981052518,0.0013365233317017555
sin,3,64,16,0.005552441347390413,0.003742864355444908
sin,3,64,8,0.0029609668999910355,0.001622750423848629
sin,3,64,29,0.003052846295759082,0.001643346156924963
sin,3,64,3,0.008067820221185684,0.004689107649028301
sin,3,64,21,0.0012378344545140862,0.0010175793431699276
sin,3,64,9,0.0013708086917176843,0.0007991194725036621
sin,3,64,0,0.0018095142440870404,0.00130523182451725
sin,3,64,42,0.0009753236081451178,0.0009273290634155273
sin,3,128,4,0.000725701276678592,0.0005324482917785645
sin,3,128,2,0.0009910528315231204,0.0006958227604627609
sin,3,128,16,0.002413479844108224,0.002431451342999935
sin,3,128,8,0.00035710184602066875,0.0004604458808898926
sin,3,128,29,0.01570323295891285,0.008231231942772865
sin,3,128,3,0.0032557917293161154,0.001370815560221672
sin,3,128,21,0.0016240061959251761,0.00101443100720644
sin,3,128,9,0.0011402657255530357,0.0005622021853923798
sin,3,128,0,0.0026410699356347322,0.0014665676280856133
sin,3,128,42,0.00436372822150588,0.0019090371206402779
sin,4,32,4,0.003227872308343649,0.0018100738525390625
sin,4,32,2,0.0020344301592558622,0.002270936965942383
sin,4,32,16,0.0026354752480983734,0.00213468074798584
sin,4,32,8,0.0009341634577140212,0.0017915964126586914
sin,4,32,29,0.0011033002519980073,0.0016835927963256836
sin,4,32,3,0.0028409084770828485,0.0016826987266540527
sin,4,32,21,0.00298074702732265,0.0017467737197875977
sin,4,32,9,0.001006632810458541,0.0018655061721801758
sin,4,32,0,0.0032302946783602238,0.0016953255981206894
sin,4,32,42,0.0025098335463553667,0.0019026994705200195
sin,4,64,4,0.0013590226881206036,0.000817405991256237
sin,4,64,2,0.0014114442747086287,0.0008753407746553421
sin,4,64,16,0.0007055023452267051,0.0006276369094848633
sin,4,64,8,0.002928502857685089,0.0012946962378919125
sin,4,64,29,0.021575765684247017,0.011272204108536243
sin,4,64,3,0.0032658965792506933,0.0021630111150443554
sin,4,64,21,0.008987567387521267,0.005232964642345905
sin,4,64,9,0.002147299237549305,0.0012380341067910194
sin,4,64,0,0.004447123035788536,0.0022933734580874443
sin,4,64,42,0.0018618842586874962,0.0008934168145060539
sin,4,128,4,0.002223264193162322,0.0009973696433007717
sin,4,128,2,0.0006298335501924157,0.0004252195358276367
sin,4,128,16,0.012047436088323593,0.006707928609102964
sin,4,128,8,0.00879205297678709,0.005013121757656336
sin,4,128,29,0.00039766592090018094,0.0003846883773803711
sin,4,128,3,0.0037187691777944565,0.001710355281829834
sin,4,128,21,0.0028010380920022726,0.0016015078872442245
sin,4,128,9,0.005814920179545879,0.0025928951799869537
sin,4,128,0,0.0019536984618753195,0.0012857182882726192
sin,4,128,42,0.0006491774693131447,0.0004683784209191799
