activation,hidden_layers,width,seed,L2_rel,Linf
tanh,2,32,4,0.0014477191725745797,0.0022573471069335938
tanh,2,32,2,0.0017841864610090852,0.0027419328689575195
tanh,2,32,16,0.0011718760943040252,0.002161681652069092
tanh,2,32,8,0.0018376802327111363,0.0026319026947021484
tanh,2,32,29,0.0015237010084092617,0.0023656487464904785
tanh,2,32,3,0.0018664082745090127,0.0025671720504760742
tanh,2,32,21,0.0015196639578789473,0.0025023818016052246
tanh,2,32,9,0.001429466879926622,0.0025703907012939453
tanh,2,32,0,0.001683336915448308,0.002661406993865967
tanh,2,32,42,0.001208863453939557,0.0020909905433654785
tanh,2,64,4,0.00033815240021795034,0.0006778240203857422
tanh,2,64,2,0.000749054888729006,0.0006070137023925781
tanh,2,64,16,0.0005471855984069407,0.0008004903793334961
tanh,2,64,8,0.0004986584535799921,0.0007246732711791992
tanh,2,64,29,0.0009179289918392897,0.0006641745567321777
tanh,2,64,3,0.00048102077562361956,0.0007780194282531738
tanh,2,64,21,0.0012691240990534425,0.000840228982269764
tanh,2,64,9,0.0005847241263836622,0.000608980655670166
tanh,2,64,0,0.001731213997118175,0.0009092008695006371
tanh,2,64,42,0.00044959012302570045,0.0006309151649475098
tanh,2,128,4,0.0002843774564098567,0.00032126903533935547
tanh,2,128,2,0.0003698327927850187,0.0002918243408203125
tanh,2,128,16,0.0015722769312560558,0.0009256736375391483
tanh,2,128,8,0.0012019071727991104,0.0006095953285694122
tanh,2,128,29,0.0004263220471329987,0.0003333543427288532
tanh,2,128,3,0.00032062738318927586,0.0003026723861694336
tanh,2,128,21,0.0011543964501470327,0.0006496189162135124
tanh,2,128,9,0.0008721745107322931,0.0004729442298412323
tanh,2,128,0,0.0004098357167094946,0.00029659271240234375
tanh,2,128,42,0.0006457085837610066,0.0003534555435180664
tanh,3,32,4,0.0013708161422982812,0.0013310909271240234
tanh,3,32,2,0.001226087100803852,0.0017116069793701172
tanh,3,32,16,0.0012839387636631727,0.0016629695892333984
tanh,3,32,8,0.0006648945854976773,0.001365363597869873
tanh,3,32,29,0.0005637516151182353,0.0011853575706481934
tanh,3,32,3,0.0010078911436721683,0.0011165142059326172
tanh,3,32,21,0.0007962643867358565,0.001300513744354248
tanh,3,32,9,0.0016787913627922535,0.0011907219886779785
tanh,3,32,0,0.002600058913230896,0.0013570627197623253
tanh,3,32,42,0.0019930400885641575,0.0014210939407348633
tanh,3,64,4,0.0003215860342606902,0.0004086494445800781
tanh,3,64,2,0.00021671937429346144,0.00035887956619262695
tanh,3,64,16,0.0009200480417348444,0.0004494832828640938
tanh,3,64,8,0.0010982666863128543,0.000542311929166317
tanh,3,64,29,0.0008997266995720565,0.0004793107509613037
tanh,3,64,3,0.001772920018993318,0.000890522263944149
tanh,3,64,21,0.002171660540625453,0.001001137774437666
tanh,3,64,9,0.0012921192683279514,0.0006623556837439537
tanh,3,64,0,0.0009007188491523266,0.00043085217475891113
tanh,3,64,42,0.003140366403385997,0.0014965115115046501
tanh,3,128,4,0.0006270589656196535,0.0003878166899085045
tanh,3,128,2,0.0002376377087784931,0.00018668174743652344
tanh,3,128,16,0.003797545563429594,0.0022187549620866776
tanh,3,128,8,0.00561166275292635,0.002956703770905733
tanh,3,128,29,0.011990749277174473,0.005723421927541494
tanh,3,128,3,0.002617744728922844,0.0014081355184316635
tanh,3,128,21,0.004466680344194174,0.002293250523507595
tanh,3,128,9,0.0023536449298262596,0.0012919222936034203
tanh,3,128,0,0.0004701073921751231,0.0002621663734316826
tanh,3,128,42,0.000989618944004178,0.0005456064827740192
tanh,4,32,4,0.0009165998199023306,0.0012269020080566406
tanh,4,32,2,0.001476507168263197,0.0015674233436584473
tanh,4,32,16,0.004321517888456583,0.002137136645615101
tanh,4,32,8,0.0009527311194688082,0.0012726783752441406
tanh,4,32,29,0.0011244140332564712,0.0011439919471740723
tanh,4,32,3,0.001705397735349834,0.0011628270149230957
tanh,4,32,21,0.0015492173843085766,0.0012007355690002441
tanh,4,32,9,0.0009677757043391466,0.0013401508331298828
tanh,4,32,0,0.0008946103043854237,0.0009246468544006348
tanh,4,32,42,0.001145808259025216,0.001294553279876709
tanh,4,64,4,0.00016927345131989568,0.0003674030303955078
tanh,4,64,2,0.0009658728959038854,0.0004582405090332031
tanh,4,64,16,0.0006028740899637341,0.0004069209098815918
tanh,4,64,8,0.0006142751662991941,0.0004451870918273926
tanh,4,64,29,0.0013182518305256963,0.0006698481738567352
tanh,4,64,3,0.000639029371086508,0.0004439353942871094
tanh,4,64,21,0.0037014828994870186,0.0020547364838421345
tanh,4,64,9,0.0008270931430160999,0.00043451786041259766
tanh,4,64,0,0.0017901614774018526,0.0009198999032378197
tanh,4,64,42,0.0011253508273512125,0.0005328953266143799
tanh,4,128,4,0.022999798879027367,0.011526268906891346
tanh,4,128,2,0.0005575440009124577,0.00036765914410352707
tanh,4,128,16,0.004933932796120644,0.002736481837928295
tanh,4,128,8,0.0007600982789881527,0.00043363170698285103
tanh,4,128,29,0.006839449517428875,0.0033059334382414818
tanh,4,128,3,0.001535878167487681,0.0008756667375564575
tanh,4,128,21,0.006631381809711456,0.0034280861727893353
tanh,4,128,9,0.004507334437221289,0.001974905375391245
tanh,4,128,0,0.0008177635027095675,0.0004249643534421921
tanh,4,128,42,0.001812189701013267,0.0011122412979602814
